LOCATION_ID,LOCATION,TOTAL_HOMELESS,Std_Residual,CHANGE_PCT,HomelessScore,ResidualScore,ChangeScore,CompositeScore,Rank
All,California,309247.0,-0.7076694656187807,5.736468025616316,1.0,0.4704732409615367,0.660783680471466,0.7129007384779775,1
CA-529,Lake County CoC,223.0,0.852433334796224,12.665166873281345,0.0005465841723454282,0.7601745499759625,1.0,0.5662523969519078,2
CA-519,Butte County CoC,5141.0,1.6324113039316352,7.493884259935949,0.016452507010184577,0.9050115687934623,0.7468235387468046,0.5465594881553179,3
CA-527,Tehama County CoC,691.0,1.7654542402810969,6.2480104851051275,0.002060201880378922,0.9297168079644382,0.6858278560382602,0.531870310257164,4
CA-612,Glendale CoC (Los Angeles County),647.0,2.1221561970126332,3.5364976043830363,0.0019178959420167985,0.9959541249961393,0.5530771852448935,0.5151783629018227,5
CA-606,Long Beach CoC (Los Angeles County),5679.0,1.0324652605511468,6.0643105941948034,0.01819252052924872,0.7936053498833245,0.6768342481094941,0.4871795290772488,6
CA-515,Placer County CoC,2287.0,0.18645431476942764,9.930084080726761,0.00722202637187776,0.6365064212945805,0.8660953897846413,0.4851335736186527,7
CA-607,Pasadena CoC (Los Angeles County),1287.0,0.9178619470547761,6.4979993771662565,0.00398780050001132,0.7723242330694469,0.6980668512309247,0.4811292671185877,8
CA-505,Contra Costa County CoC,8010.0,2.1439440893253257,0.07343201569121502,0.025731501036569394,1.0,0.38353187968180935,0.47406558926734205,9
CA-501,San Francisco CoC,19577.0,-0.05952535606180008,8.388324478942137,0.0631417916964485,0.5908295385841666,0.7906136825819381,0.4660740703727967,10
CA-507,Marin County CoC,1687.0,0.13074057728609134,8.527394035771648,0.005281490848757895,0.6261607295397069,0.7974222716494321,0.4602314586307923,11
CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",2309.0,1.4412732890661155,2.105019208163803,0.007293179341058821,0.8695184377675901,0.4829946425155702,0.4517824587426982,12
CA-609,San Bernardino County CoC,7016.0,0.5049872789804571,4.941586032422872,0.022516680519934152,0.6956559957146976,0.621867723793474,0.43792075382016327,13
CA-520,Merced County CoC,2611.0,0.8657551941701215,3.404959338675166,0.008269915554362487,0.7626483357406555,0.5466373143035222,0.43381258224431296,14
CA-522,Humboldt County CoC,2454.0,0.44381942814622843,5.05185132716733,0.007762142092479455,0.6842975093049807,0.6272661093023995,0.4304007107798309,15
CA-521,Yolo County CoC,1032.0,0.19905969557347003,4.975785127184565,0.0031630729026853777,0.6388471614807945,0.6235420484121834,0.41176619655787294,16
CA-611,Ventura County CoC,2881.0,1.1631637521549596,0.44866621703272747,0.009143156539766426,0.8178752403634668,0.4019026542729423,0.4100272351980143,17
CA-503,Sacramento County CoC,13045.0,1.2669111491866227,-0.8009052009848479,0.04201582830141692,0.8371404815507252,0.340725941772179,0.40992249097990346,18
CA-603,Santa Barbara County CoC,3977.0,0.6339190223180112,2.5675867262562333,0.012687868095332044,0.7195978121183765,0.505641095258085,0.40799231665222346,19
CA-531,Nevada County CoC,1125.0,0.40498171096095553,3.7850774298252268,0.003463855908768957,0.6770855887157011,0.5652471951341185,0.4077664641588,20
CA-517,Napa County CoC,938.0,0.7746340534293368,1.8954920301792715,0.0028590556707299326,0.7457277111866384,0.4727365782354254,0.4038263418707065,21
CA-508,Santa Cruz County CoC,1729.0,0.46210347426327075,2.4849798249635886,0.0054173283353762865,0.6876927420375789,0.501596813692349,0.393067568738239,22
CA-525,El Dorado County CoC,530.0,-0.44004448669698376,6.0675481800031985,0.0015394915150084253,0.5201695216796909,0.6769927543407834,0.3856959809203798,23
CA-512,San Mateo County CoC,4715.0,0.010233061019587049,3.620831762442208,0.015074726788769475,0.6037832392876563,0.5572060301169737,0.3837620971618411,24
CA-614,San Luis Obispo County CoC,3031.0,-0.11473644146689901,1.2410745248220996,0.00962829042054639,0.580577186168858,0.4406975038748599,0.33878116796874946,25
CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",826.0,-1.0243876413342898,4.735486905850199,0.0024968223730808914,0.4116606613872698,0.6117774905893583,0.32848836649293023,26
CA-506,"Monterey, San Benito Counties CoC",3185.0,-0.2525681513931603,0.9890367378305269,0.010126361204813823,0.5549827017677579,0.4283581985644249,0.3262956316097275,27
CA-600,Los Angeles County CoC,92818.0,-0.661786464768388,-4.189077494134246,0.3000197287778184,0.47899342655721205,0.17484727386066862,0.3251087865254612,28
CA-510,Stanislaus County CoC,5176.0,-0.3345012358409484,0.9593887482136184,0.016565704915699902,0.5397682416630778,0.42690668766167333,0.32278888760107416,29
CA-530,"Alpine, Inyo, Mono Counties CoC",54.0,-1.4301413779606327,6.127081744940139,0.0,0.33631473635792103,0.6799074079042194,0.32168238009653816,30
CA-613,Imperial County CoC,1402.0,-0.6516003476058169,2.349010424950101,0.00435973647527596,0.4808849246527134,0.49494000258608745,0.3183176321706225,31
CA-608,Riverside County CoC,11671.0,-0.926930471578083,2.5866369165439114,0.03757200195347243,0.4297578468058871,0.5065737574473043,0.3155375742999671,32
CA-518,Solano County CoC,1590.0,0.04557183990381377,-1.001084385793976,0.004967770939186851,0.6103454289709314,0.33092553800083335,0.3146372813687914,33
CA-509,Mendocino County CoC,1117.0,-1.4358621511794394,5.409764856474814,0.003437982101794025,0.3352524246374228,0.6447888957288969,0.31197831107739493,34
CA-524,"Yuba, Sutter Counties CoC",2303.0,-1.5193699659540134,5.148144209618065,0.0072737739858276225,0.3197455469837881,0.6319804312696098,0.30405089172024846,35
CA-514,"Fresno, Madera Counties CoC",10756.0,-0.9815086510479509,1.3492847281615794,0.034612685280714636,0.41962302105476407,0.4459952758980476,0.2927810799868318,36
CA-601,San Diego County CoC,22883.0,-0.48423407286625136,-2.1449750546103616,0.07383414242883896,0.5119637925734826,0.2749227601127899,0.2875061052846495,37
CA-523,"Colusa, Glenn, Trinity Counties CoC",466.0,-0.4749453111609562,-0.46500467329417167,0.001332501059208973,0.5136886573865137,0.3571710122300071,0.28740870912500505,38
CA-500,Santa Clara County CoC,13909.0,-0.6533292325737119,-0.9468237847210579,0.04481019945470952,0.4805638815533731,0.3335820369764764,0.28395553944577184,39
CA-513,"Kings, Tulare Counties CoC",4857.0,-2.025142586657607,5.310653372605233,0.01553398686257451,0.2258267422470034,0.6399365802335306,0.27645722925841143,40
CA-502,Alameda County CoC,12897.0,-1.2477831819648495,0.9115939838638886,0.041537162872380684,0.3701775100645219,0.42456674412943096,0.2714701587667452,41
CA-602,Orange County CoC,19506.0,-1.2608839543350452,-1.4645479763032718,0.06291216165954598,0.36774477877031736,0.3082352152050859,0.24320049371197794,42
CA-511,San Joaquin County CoC,8195.0,-1.2002964070557762,-1.11349759910297,0.026329832822864684,0.3789955064480759,0.325421994359605,0.23949046705271065,43
CA-504,Sonoma County CoC,3368.0,-0.7925207384327007,-7.760438997612503,0.010718224539365382,0.45471689157276957,0.0,0.16290229063924722,44
CA-604,Kern County CoC,6752.0,-3.2412673400690726,-0.9578569441791449,0.02166284488976141,0.0,0.33304187383381,0.1074945578615595,45
